repo,groundTruthNumberOfTransitiveDeps,webpacklocation,ourSolutionLocation,webpackTransitiveDeps,ourSolutionTransitiveDeps
basic-auth,358,output/basic-auth,dist/basic-auth,0,0
bplist-parser,,,,,
browserify-zlib,653,output/browserify-zlib,dist/browserify-zlib,0,0
cache-base,-10,output/cache-base,dist/cache-base,0,10
capture-exit,,,,,
cli-progress,,,,,
cli-table3,,,,,
coa,-8,output/coa,dist/coa,5,1
colorspace,,,,,
compress-commons,,,,,
compressible,,,,,
compression,339,output/compression,dist/compression,0,1
connect,,,,,
contains-path,122,output/contains-path,dist/contains-path,1,1
cookie-parser,340,output/cookie-parser,dist/cookie-parser,0,0
cookies,,,,,
cors,279,output/cors,dist/cors,0,0
crc32-stream,84,output/crc32-stream,dist/crc32-stream,0,0
css-to-react-native,505,output/css-to-react-native,dist/css-to-react-native,0,0
define-property,137,output/define-property,dist/define-property,0,1
des.js,,,,,
doctrine,,,,,
dom-converter,,,,,
duplexer2,,,,,
error-ex,339,output/error-ex,dist/error-ex,0,0
esquery,372,output/esquery,dist/esquery,0,0
expand-brackets,,,,,
expand-tilde,,,,,
fd-slicer,,,,,
finalhandler,338,output/finalhandler,dist/finalhandler,1,1
for-own,120,output/for-own,dist/for-own,0,0
fs-extra,,,,,
glob-parent,314,output/glob-parent,dist/glob-parent,0,1
global-modules,,,,,
has-value,137,output/has-value,dist/has-value,0,2
has-values,138,output/has-values,dist/has-values,0,0
hash.js,140,output/hash.js,dist/hash.js,0,0
hmac-drbg,36,output/hmac-drbg,dist/hmac-drbg,0,0
homedir-polyfill,121,output/homedir-polyfill,dist/homedir-polyfill,0,0
hpack.js,24,output/hpack.js,dist/hpack.js,6,6
http-errors,322,output/http-errors,dist/http-errors,0,0
is-absolute,141,output/is-absolute,dist/is-absolute,2,2
is-extendable,138,output/is-extendable,dist/is-extendable,1,1
is-glob,121,output/is-glob,dist/is-glob,0,0
is-relative,140,output/is-relative,dist/is-relative,1,1
is-unc-path,,,,,
jest-junit,200,output/jest-junit,dist/jest-junit,1,1
json-bigint,111,output/json-bigint,dist/json-bigint,0,0
jsonfile,288,output/jsonfile,dist/jsonfile,0,0
keygrip,202,output/keygrip,dist/keygrip,0,0
language-tags,177,output/language-tags,dist/language-tags,0,0
lazy-cache,111,output/lazy-cache,dist/lazy-cache,3,3
levn,,,,,
makeerror,78,output/makeerror,dist/makeerror,0,0
md5,183,output/md5,dist/md5,0,0
memory-fs,,,,,
miller-rabin,18,output/miller-rabin,dist/miller-rabin,0,0
mime-types,318,output/mime-types,dist/mime-types,0,0
morgan,385,output/morgan,dist/morgan,2,2
mz,63,output/mz,dist/mz,0,0
node-dir,17,output/node-dir,dist/node-dir,3,3
